bibcode,url,title,abstract,pubdate,author,keywords
2010LPICo1538.5366M,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5366.pdf,Stable Isotope Astrobiology at Hispanic Serving Institutions: Si Se Puede!,"A ""crawl-walk-run"" strategy has been used to create a strong, sustainable program in stable isotope geochemistry with an emphasis on astrobiology. The result was the creation of a vibrant program addressing the record of early life on Earth.",2010-04-00,"Melchiorre, E. B.; Lopez, A.; Velasquez, C. M.",
2010LPICo1538.5380B,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5380.pdf,Astrobiology Program in Colombia: A New Educational Tool,"In search of answers to the educational paradigms, in action to educate and inspire students in science and technology, and if each activity where the word education is relevant to define each process that human beings develops in interaction with knowledge.",2010-04-00,"Bueno, J. E.; Gonzalez, W. A.; Moreno, A. N.; Sarmiento, G. A.",
2010LPICo1538.5389G,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5389.pdf,The NASA Astrobiology Institute — Minority Institution Research Support Program: Supporting the Next Generation of Astrobiologists,This presentation discusses ways in which astrobiology research programs can participate in the NAI-MIRS program as well as the successes and challenges in identifying talented researchers who inspire the next generation of astrobiologists.,2010-04-00,"Gary, T.; Butler, J.; Kirven-Brooks, M.; Bell, B.; Bradford, K.; Kuner, S.; Arino de La Rubia, L.",
2010LPICo1538.5422C,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5422.pdf,`Impact' of the NAI-MIRS Program on Astrobiology Research at a Minority Institution: Connecting Univ. of Puerto Rico to South Africa to Univ. of Wisconsin to NASA,This abstract describes the outcome of the research and student-related activities at the University of Puerto Rico that resulted from the NAI-MIRS award I received in 2009.,2010-04-00,"Cavosie, A. J.",
2010LPICo1538.5470B,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5470.pdf,Science Inquiry Learning in Classrooms — Montana Style,Montana's ABRC is working with rural school teachers in southwestern Montana. Astrobiology is a new and exciting subject for the teachers and its inter-disciplinary nature is very useful and rewarding for the teachers and their students.,2010-04-00,"Brelsford, M. A.; Peters, J.; Grimberg, B. I.",
2010LPICo1538.5486W,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5486.pdf,"Diversity in Astrobiology: Surviving Financial, Institutional and Technical Extremes","We discuss the development of an astrobiology program at an undergraduate institution, South Carolina State University, a HBCU in a rural setting. Included are successes and barriers to developing curriculum, research and outreach programs.",2010-04-00,"Walter, D. K.",
2010LPICo1538.5545C,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5545.pdf,Building 21st Century Explorers: Learning About Astrobiology Exploration Interactively,"We report a collaboration between researchers and a major museum in an attempt to teach the public about interdisciplinary exploration, both interactively and immediately responsive to new discovery.",2010-04-00,"Conrad, P. G.; Phillips, K. E.; Sohus, A. M.",
2010LPICo1538.5592B,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5592.pdf,The Native American Astrobiology in the Secondary Classroom Initiative,Astrobiology as a platform to engage Native American K-12 Students into the sciences and mathematics with the intent of helping them change any negative views of science and mathematics into possible future educational goals and career paths.,2010-04-00,"Berthelson, M.; Morales, C.; Ceballos, M.",
2010LPICo1538.5603M,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5603.pdf,Student Perspectives to Conducting Astrobiology Research at Primarily Undergraduate Institutions,"The student-centered challenges, concerns, and benefits to conducting astrobiological research at minority-serving primarily undergraduate institutions will be discussed in this session.",2010-04-00,"McCoy, K. B.; Derecho, I.; Dallal, F.; Venkateswaran, K.; Mogul, R.",
2010LPICo1538.5606M,https://www.lpi.usra.edu/meetings/abscicon2010/pdf/5606.pdf,Studying Planetary Habitability After a NASA Astrobiology Institute MIRS Sabbatical,The NASA Astrobiology Institute Minority Institution Research Support (NAI-MIRS) opened an opportunity for professors and students to study planetary habitability at the University of Puerto Rico.,2010-04-00,"Mendez, A.",
2010LPICo1595....1A,https://www.lpi.usra.edu/meetings/leag2010/pdf/3075.pdf,The Role of a Lunar Development Corporation in Facilitating Commercial Partnerships in Lunar Exploration,,2010-09-00,"Aldrin, B.; Matula, T. L.; Rosen, S.",
2010LPICo1595....2A,https://www.lpi.usra.edu/meetings/leag2010/pdf/3106.pdf,A Blueprint for an International Lunar Robotic Village,,2010-09-00,"Alkalai, L.",
2010LPICo1595....3A,https://www.lpi.usra.edu/meetings/leag2010/pdf/3052.pdf,Beijing Lunar Declaration 2010: A) GLUC-ICEUM11 Report and Recommendations on Science and Exploration,,2010-09-00,"Arvidson, R.; Foing, B. H.; Cohen, B.; Plescia, J.; Blamont, J. E.; Gluc-Iceum1 Participants",
2010LPICo1595....4A,https://www.lpi.usra.edu/meetings/leag2010/pdf/3051.pdf,"Beijing Lunar Declaration 2010: B) Technology and Resources; Infrastructures and Human Aspects; Moon, Space and Society",,2010-09-00,"Arvidson, R.; Foing, B. H.; Blamont, J. E.; Plescia, J.; Cohen, B.; Gluc-Iceum1 Participants",
2010LPICo1595....5B,https://www.lpi.usra.edu/meetings/leag2010/pdf/3020.pdf,"Habitat Architectural Design System (HADS), Proposed Module for Lunar Habitat",,2010-09-00,"Bahrami, P.; Elnimeiri, M.",
2010LPICo1595....6B,https://www.lpi.usra.edu/meetings/leag2010/pdf/3049.pdf,The Lunar Sample Acquisition and Curation Review Recommendations for Human Surface Science Capabilities During Planetary Exploration,,2010-09-00,"Bleacher, J. E.; Eppler, D. B.; Horz, F.; Shearer, C. K.; Neal, C. R.",
2010LPICo1595....7B,https://www.lpi.usra.edu/meetings/leag2010/pdf/3061.pdf,Much of the Hydrogen Enrichment near the Lunar South Polar is Outside the Permanently Shadowed Regions,,2010-09-00,"Boynton, W. V.; Mitrofanov, I. G.; Sanin, A. B.; Litvak, M. L.; Hamara, D. K.; Droege, G. F.; Tretyakov, V. I.; Kozyrev, A. S.; Malakhov, A. V.; Mokrousov, M. I.; Vostrukhin, A. A.; Golovin, D. V.; Varenikov, A. B.; Shvecov, V. N.; Sagdeev, R. Z.; Milikh, G.; Chin, G.; Trombka, J.; McClanahan, T.; Starr, R.; Evans, L.; Shevchenko, V.",
2010LPICo1595....8B,https://www.lpi.usra.edu/meetings/leag2010/pdf/3068.pdf,Mini-RF: A Synthetic Aperture Radar on Lunar Reconnaissance Orbiter,,2010-09-00,"Bussey, D. B. J.; Mini-Rf Team",
2010LPICo1595....9C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3037.pdf,Inspiration Enabled by the ISECG Reference Architecture for Human Lunar Exploration,,2010-09-00,"Carey, W.; Hipkin, V.; Hufenbach, B.; Matsumoto, K.; Piedboeuf, J. -C.; Rhatigan, J.",
2010LPICo1595...10C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3007.pdf,Apollo in the Field: Breakthrough and Baseline for Future Planetary Surface Exploration,,2010-09-00,"Clark, P. E.",
2010LPICo1595...11C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3009.pdf,Extreme Mobility: Next Generation TET Rovers for the Lunar Surface,,2010-09-00,"Clark, P. E.; Curtis, S. A.; Rilee, M. L.",
2010LPICo1595...12C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3008.pdf,A Portable Tool for In Situ Sample Screening and Site Characterization on the Moon,,2010-09-00,"Clark, P. E.; Gendreau, K.; Arzoumanian, Z.; MacAdam, A.; Bleacher, J.",
2010LPICo1595...13C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3006.pdf,Small Cold Temperature Instrument Packages for Planetary Surfaces,,2010-09-00,"Clark, P. E.; Millar, P. S.; Brigham, W. D.; Yeh, P. S.; Feng, S.; Beaman, B.; Chalmers, R.; Johnson, M. A.",
2010LPICo1595...14C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3025.pdf,NASA's International Lunar Network Anchor Nodes and Robotic Lunar Lander Project Update,,2010-09-00,"Cohen, B. A.; Bassler, J. A.; Ballard, B.; Chavers, D. G.; Eng, D. S.; Hammond, M. S.; Hill, L. A.; Harris, D. W.; Holloway, T. A.; Kubota, S.; Morse, B. J.; Mulac, B. D.; Reed, C. L. B.",
2010LPICo1595...15C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3059.pdf,Lunar Surface Origins Exploration (LUNASOX): Virtual Observatory Facility for Solar Wind Plasma Interactions with the Moon,,2010-09-00,"Cooper, J. F.; King, J. H.; Papitashvili, N. E.; Hills, H. K.; Lipatov, A. S.",
2010LPICo1595...16C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3021.pdf,Slosh Dynamics in the Orion Downstream Propellant Tank,,2010-09-00,"Crosby, K. M.; Bakkum, A.; Finnvik, S.; Fritz, I.; Frye, B.; Grove, C.; Hartstern, K.; Kreppel, S.; Schultz, K.; Braun, J. P.",
2010LPICo1595...17C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3081.pdf,Several Searches for Short-Term Changes in the Lunar Surface,,2010-09-00,"Crotts, A.",
2010LPICo1595...18C,https://www.lpi.usra.edu/meetings/leag2010/pdf/3029.pdf,Pneumatic Drilling for the Lunar Laser Ranging Reflectometer Array,,2010-09-00,"Currie, D.; Zacny, K.",
2010LPICo1595...19D,https://www.lpi.usra.edu/meetings/leag2010/pdf/3018.pdf,"""New Moon!"" New Lunar Education and Public Outreach Efforts!",,2010-09-00,"Daou, D.",
2010LPICo1595...20D,https://www.lpi.usra.edu/meetings/leag2010/pdf/3026.pdf,A Comparison Between Models of the Moon Radiation Environment and the Data from the RADOM Experiment Onboard the Indian Chandrayaan-1 Satellite,,2010-09-00,"de Angelis, G.; Dachev, Ts. P.; Tomov, B.; Matviichuk, Yu.; Dimitrov, P.; Spurny, F.",
2010LPICo1595...21D,https://www.lpi.usra.edu/meetings/leag2010/pdf/3035.pdf,Lunar Impact Glasses and Biomolecular Clocks,,2010-09-00,"Delano, J. W.; Zellner, N. E. B.; Swindle, T. D.",
2010LPICo1595...22E,https://www.lpi.usra.edu/meetings/leag2010/pdf/3065.pdf,"The Lunar Atmosphere and Dust Environment Explorer (LADEE): New Mission, Longstanding Questions",,2010-09-00,"Elphic, R. C.; Delory, G. T.; Grayzeck, E. J.; Colaprete, A.; Horanyi, M.; Mahaffy, P.; Hine, B.; Boroson, D.; Salute, J. S.",
2010LPICo1595...23F,https://www.lpi.usra.edu/meetings/leag2010/pdf/3033.pdf,Are There Electrical Hazards Associated with Operations in the Lunar Polar Region?,,2010-09-00,"Farrell, W. M.; Jackson, T. L.; Halekas, J. S.; Stubbs, T. J.; Delory, G. T.; Killen, R. M.; Collier, M. R.; Vondrak, R. R.; L. S. I. Dream Team",
2010LPICo1595...24F,https://www.lpi.usra.edu/meetings/leag2010/pdf/3011.pdf,Improving Lunar Exploration with Robotic Follow-Up,,2010-09-00,"Fong, T.; Bualat, M.; Deans, M.; Heggy, E.; Helper, M.; Hodges, K.; Lee, P.",
2010LPICo1595...25G,https://www.lpi.usra.edu/meetings/leag2010/pdf/3067.pdf,What if Apollo Explored Washington D.C.? Lunar Exploration in the Context of Our Nation's Capital,,2010-09-00,"Garry, W. B.; Bleacher, L. V.; Bleacher, J. E.; Petro, N. E.; Mest, S. C.",
2010LPICo1595...26G,https://www.lpi.usra.edu/meetings/leag2010/pdf/3054.pdf,Volcanism on the Aristarchus Plateau: Details from the Lunar Reconnaissance Orbiter Camera,,2010-09-00,"Garry, W. B.; Hawke, B. R.; Robinson, M. S.",
2010LPICo1595...27G,https://www.lpi.usra.edu/meetings/leag2010/pdf/3030.pdf,Three Lunar Volatiles Answers Required for the Design of a Space Exploration Architecture,,2010-09-00,"Gump, D. P.",
2010LPICo1595...28H,https://www.lpi.usra.edu/meetings/leag2010/pdf/3045.pdf,Lunar Orientale Basin: Integrated Lunar and Planetary Exploration,,2010-09-00,"Head, J. W.",
2010LPICo1595...29H,https://www.lpi.usra.edu/meetings/leag2010/pdf/3036.pdf,The Moon as a Touchstone for Solar System Science,,2010-09-00,"Head, J. W.",
2010LPICo1595...30H,https://www.lpi.usra.edu/meetings/leag2010/pdf/3077.pdf,Considerations for Extracting Adsorbed Water and Hydroxyl from the Lunar Regolith,,2010-09-00,"Hibbitts, C. A.; Orlando, T. M.; Grieves, G.; Poston, M.; Dyar, M. D.; Johnson, A.",
2010LPICo1595...31J,https://www.lpi.usra.edu/meetings/leag2010/pdf/3072.pdf,MoonRise: South Pole-Aitken Basin Sample Return Mission for Solar System Science,,2010-09-00,"Jolliff, B. L.; Shearer, C. K.; Papanastassiou, D. A.; Alkalai, L.; Moonrise Team",
2010LPICo1595...32J,https://www.lpi.usra.edu/meetings/leag2010/pdf/3076.pdf,Imaging Constellation Regions of Interest with the Lunar Reconnaissance Orbiter Cameras,,2010-09-00,"Jolliff, B. L.; Wiseman, S.; Lauber, C.; Lawrence, S. J.; Robinson, M.; Beyer, R.; Gaddis, L. R.; Lroc Team",
2010LPICo1595...33K,https://www.lpi.usra.edu/meetings/leag2010/pdf/3057.pdf,The Colorful Moon: Science Discoveries from the Moon Mineralogy Mapper on Chandrayaan-1,,2010-09-00,"Klima, R. L.; Pieters, C. M.; M3 Team",
2010LPICo1595...34K,https://www.lpi.usra.edu/meetings/leag2010/pdf/3055.pdf,The Moon -- A Guiding Light of Space Exploration,,2010-09-00,"Kring, D. A.",
2010LPICo1595...35L,https://www.lpi.usra.edu/meetings/leag2010/pdf/3032.pdf,LROC Views the Constellation Regions of Interest: Science and Exploration Observations,,2010-09-00,"Lawrence, S. J.; Jolliff, B. L.; Denevi, B. W.; Hawke, B. R.; Robinson, M. S.; Stopar, J. D.; Banks, M. E.; Garry, W. B.; Sato, H.; Bray, V. J.; Lroc Team",
2010LPICo1595...36L,https://www.lpi.usra.edu/meetings/leag2010/pdf/3038.pdf,Precision Photogrammetric Modeling of LROC NAC Cameras and Topographic Products,,2010-09-00,"Li, R.; Wang, W.; He, S.; Hwangbo, J. W.; Chen, Y.; Tang, P.; Meng, X.; Choung, Y.; Lawver, J.; Thomas, P.; Robinson, M.; Rosiek, M.; Lroc Team",
2010LPICo1595...37L,https://www.lpi.usra.edu/meetings/leag2010/pdf/3042.pdf,Verifying the LEND/LRO Capabilities in Flight and on the Ground,,2010-09-00,"Litvak, M. L.; Mitrofanov, I. G.; Sanin, A. B.; Tretyakov, V. I.; Kozyrev, A. S.; Malakhov, A. V.; Mokrousov, M. I.; Vostrukhin, A. A.; Golovin, D. V.; Varenikov, A. B.; Shvecov, V. N.; Boynton, W. V.; Harshman, K.; Sagdeev, R. Z.; Milikh, G.; Chin, G.; Trombka, J.; McClanahan, T.; Starr, R.; Evans, L.; Shevchenko, V. V.",
2010LPICo1595...38M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3066.pdf,High Resolution Topography from LROC-NAC Geometric Stereo Images,,2010-09-00,"Mattson, S.; Archinal, B.; Beyer, R.; Edmundson, K.; Gaskell, B.; Haase, I.; Howington-Kraus, E.; Li, R.; Mastrodemos, N.; McEwen, A.; Moratto, Z.; Oberst, J.; Ojha, L.; Ortiz, A.; Robinson, M.; Rosiek, M.; Scholten, F.; Tran, T.; Lroc Team",
2010LPICo1595...39M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3078.pdf,Nominally Hydrous Magmatism on the Moon,,2010-09-00,"McCubbin, F. M.; Steele, A.; Hauri, E. H.; Nekvasil, H.; Yamashita, S.; Hemley, R. J.",
2010LPICo1595...40M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3039.pdf,"Ex Luna, Scientia -- The Lunar Occultation Observer (LOCO) Nuclear Astrophysics Mission Concept",,2010-09-00,"Miller, R. S.; Bonamente, M.; Gregory, D. A.; Ebbets, D.; Freelove, R.; Harwit, A.; Lawrence, D. J.; O'Brien, S.; Paciesas, W. S.; Young, C. A.",
2010LPICo1595...41M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3048.pdf,Hydrogen at the Lunar Poles: Search Strategies and Tradeoffs for a Surface-based Neutron Spectrometer,,2010-09-00,"Miller, R. S.; Gubarev, M. V.; Lawrence, D. J.; Ramsey, B. D.; Souza, A.",
2010LPICo1595...42M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3082.pdf,Scientific Investigations Onboard Russian Lunar Lander of Missions LUNA-RESOURCE and LUNA-GLOB,,2010-09-00,"Mitrofanov, I. G.",
2010LPICo1595...43M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3041.pdf,Main Results from LEND Instrument After One Year of Lunar Mapping Onboard NASA's LRO,,2010-09-00,"Mitrofanov, I. G.; Litvak, M. L.; Sanin, A. B.; Tretyakov, V. V.; Kozyrev, A. S.; Malakhov, A. B.; Mokrousov, M. I.; Vostrukhin, A. A.; Golovin, D. V.; Varenikov, A. V.; Shvecov, V. V.; Boynton, W. V.; Harshman, K.; Sagdeev, R. Z.; Milikh, G.; Chin, G.; Trombka, J.; McClanahan, T.; Starr, R.; Evans, L.; Shevchenko, V. V.",
2010LPICo1595...44M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3027.pdf,Anomalous Ca-rich Plagioclase Compositions with Impact Carbon in the Apollo Lunar Samples,,2010-09-00,"Miura, Yas.",
2010LPICo1595...45M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3005.pdf,Estimated Sources of Spherule-chained Textures with Carbon in the Lunar Breccias,,2010-09-00,"Miura, Yas.",
2010LPICo1595...46M,https://www.lpi.usra.edu/meetings/leag2010/pdf/3013.pdf,Expected Storages of Nano-Diamonds and/or Diamonds in the Lunar Rocks,,2010-09-00,"Miura, Yas.",
2010LPICo1595...47N,https://www.lpi.usra.edu/meetings/leag2010/pdf/3024.pdf,The Lunar Mapping and Modeling Project,,2010-09-00,"Nall, M.; French, R.; Noble, S.; Muery, K.; Lmmp Team",
2010LPICo1595...48N,https://www.lpi.usra.edu/meetings/leag2010/pdf/3050.pdf,Probing the Hydrogen Content Distribution on Lunar South Pole at the Highest Spatial Resolution Using LEND Data,,2010-09-00,"Nandikotkur, G.; Usikov, D.; Milikh, G. M.; Sagdeev, R. Z.; Mitrofanov, I. M.; Golovin, D. V.; Kozyrev, A. S.; Litvak, M. L.; Malakhov, A. V.; Mokrousov, M. I.; Sanin, A. B.; Tretyakov, V. I.; Varenikov, A. B.; Vostrukhin, A. A.; Chin, G.; Garvin, J.; McClanahan, T.; Trombka, J.; Evans, L.; Starr, R.; Boynton, W.; Harshman, K.; Finch, M. J.; Droege, G.; Shevchenko, V. V.; Timoshenko, G. N.; Shvetsov, V. N.; Tomilina, T. M.",
2010LPICo1595...49N,https://www.lpi.usra.edu/meetings/leag2010/pdf/3071.pdf,"Digital Terrain, Image and Albedo Mosaics from Apollo Metric Camera Imagery",,2010-09-00,"Nefian, A. V.; Moratto, Z.; Beyer, R.; Broxton, M.; Kim, T.; Fong, T.",
2010LPICo1595...50O,https://www.lpi.usra.edu/meetings/leag2010/pdf/3047.pdf,An Analogue Mission in Support of MoonRise and Other Sample Return Missions to the South Pole-Aitken Basin,,2010-09-00,"Osinski, G. R.; Antonenko, I.; Barfoot, T.; Ghafoor, N.; Jolliff, B. L.; Sylvester, P.",
2010LPICo1595...51P,https://www.lpi.usra.edu/meetings/leag2010/pdf/3044.pdf,Planetary Analogs as Models for Biologically Relevant Extraterrestrial Exploration,,2010-09-00,"Paul, A. -L.; Toghranegar, S.; Amalfitano, C.; Sarafan, A.; Giongo, A.; Triplett, E.; Lee, P.; Berinstain, A.; Ferl, R. J.",
2010LPICo1595...52P,https://www.lpi.usra.edu/meetings/leag2010/pdf/3022.pdf,Designing a Participatory Space Exploration Program to Achieve Exploration Goals and Support National Educational Objectives,,2010-09-00,"Pestak, C. J.",
2010LPICo1595...53P,https://www.lpi.usra.edu/meetings/leag2010/pdf/3074.pdf,Toward a Sustainable and Inspired Lunar Science Community: Developing the Next Generations of Lunar Scientists and Engineers,,2010-09-00,"Petro, N.; Bleacher, L.; Santiago, D.",
2010LPICo1595...54P,https://www.lpi.usra.edu/meetings/leag2010/pdf/3069.pdf,Compositional Diversity in the South Pole-Aitken Basin (SPA) as Viewed by the Moon Mineralogy Mapper (M3),,2010-09-00,"Petro, N. E.; Pieters, C. M.; M3 Science Team",
2010LPICo1595...55P,https://www.lpi.usra.edu/meetings/leag2010/pdf/3003.pdf,Development of a Simulation Tool for the Propulsion Subsystem of ESMO Lunar Mission,,2010-09-00,"Pettinari, A.; Saturni, A.; Rossettini, L. L.",
2010LPICo1595...56P,https://www.lpi.usra.edu/meetings/leag2010/pdf/3053.pdf,Advanced Technology Development for Space Exploration at the Canadian Space Agency,,2010-09-00,"Piedboeuf, J. -C.; Martin, É.; Picard, M.; Lange, C.; Hipkin, V.",
2010LPICo1595...57P,https://www.lpi.usra.edu/meetings/leag2010/pdf/3056.pdf,How Have Results from Recent Lunar Missions Changed Our View of the Moon?,,2010-09-00,"Plescia, J. B.",
2010LPICo1595...58R,https://www.lpi.usra.edu/meetings/leag2010/pdf/3058.pdf,Geophysical Tiltmeter for Measuring Tidal Distortion of the Moon,,2010-09-00,"Roberts, J. H.; Lorenz, R. D.",
2010LPICo1595...59R,https://www.lpi.usra.edu/meetings/leag2010/pdf/3046.pdf,Lunar Roving Prospector: A Long Duration Explorer,,2010-09-00,"Robinson, M. S.; Lawrence, S. J.; Speyerer, E. J.; Tran, T.; Wettergreen, D.; Cloutis, E. A.; Spence, H. E.; Klaus, K.",
2010LPICo1595...60S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3079.pdf,Thermal Wadis and Compact Rovers: Creating an Affordable Lunar Infrastructure to Enable Resource Evaluations and Technology Demonstrations,,2010-09-00,"Sacksteder, K. R. .; Wegeng, R. S.",
2010LPICo1595...61S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3040.pdf,Which Spot on the Moon has the Highest Content of Hydrogen?,,2010-09-00,"Sanin, A. B.; Mitrofanov, I. G.; Litvak, M. L.; Tretyakov, V. I.; Kozyrev, A. S.; Malakhov, A. V.; Mokrousov, M. I.; Vostrukhin, A. A.; Golovin, D. V.; Varenikov, A. B.; Shvecov, V. N.; Boynton, W. V.; Harshman, K.; Sagdeev, R. Z.; Milikh, G.; Chin, G.; Trombka, J.; McClanahan, T.; Starr, R.; Evans, L.; Shevchenko, V. V.",
2010LPICo1595...62S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3060.pdf,Prospects for the Detectability of Lunar Exospheric Refractories by LADEE Ultraviolet-Visible Measurements,,2010-09-00,"Sarantos, M.; Killen, R. M.; Glenar, D.; Stubbs, T. J.",
2010LPICo1595...63S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3073.pdf,Shooting the Moon: A Review of the LCROSS Results,,2010-09-00,"Schultz, P. H.; Colaprete, A.; Hermalyn, B.; Lcross Team",
2010LPICo1595...64S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3014.pdf,The Chlorine Isotope Composition of the Moon and Evidence for an Anhydrous Mantle,,2010-09-00,"Sharp, Z. D.; Shearer, C. K.; McKeegan, K. D.; Barnes, J. D.",
2010LPICo1595...65S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3031.pdf,"Vapor Element Transport in the Lunar Crust. Implications for Lunar Crustal Processes, Water on the Moon and Lunar Ore Deposits",,2010-09-00,"Shearer, C. K.; Burger, P. V.; Guan, Y.; Papike, J. J.; Sutton, S.",
2010LPICo1595...66S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3064.pdf,An Overview of Results from the Lunar Reconnaissance Orbiter (LRO) Cosmic Ray Telescope for the Effects of Radiation (CRaTER),,2010-09-00,"Spence, H. E.; Crater Science Team",
2010LPICo1595...67S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3023.pdf,Earth Based Communication Systems and Emerging Technologies for Sustainable Lunar and Solar System Robotic Exploration,,2010-09-00,"Sridhar, J.",
2010LPICo1595...68S,https://www.lpi.usra.edu/meetings/leag2010/pdf/3063.pdf,"Acquiring ""Ground Truth"" About the Dynamic Lunar Environment: Implications for Science and Exploration",,2010-09-00,"Stubbs, T. J.; Farrell, W. M.; Collier, M. R.; Glenar, D. A.; Richard, D. T.; Jackson, T. L.; Killen, R. M.; Sarantos, M.; Delory, G. T.; Halekas, J. S.; Vondrak, R. R.",
2010LPICo1595...69T,https://www.lpi.usra.edu/meetings/leag2010/pdf/3080.pdf,Realistic Models of Ice Distribution on the Lunar Sub-Surface,,2010-09-00,"Teodoro, L. F. A.; Elphic, R. C.; Sigler, M.; Eke, V. R.",
2010LPICo1595...70W,https://www.lpi.usra.edu/meetings/leag2010/pdf/3062.pdf,Assessing the Resource Potential of the Moon: The Case for a Decadal-Scale Robotic Lunar Exploration Program,,2010-09-00,"Wegeng, R. S.; Abbud-Madrid, A.; Boucher, D.",
2010LPICo1595...71Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3015.pdf,"Testing Heat Flow Probe in Lunar Analog Site on Mauna Kea, HI",,2010-09-00,"Zacny, K.; Kumar, N.; Mumm, E.; Hedlund, M.; Shasho, J.; Pierides, A.; Morgan, P.",
2010LPICo1595...72Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3016.pdf,Introduction to Lunar Drilling and Sampling,,2010-09-00,"Zacny, K.; Paulsen, G.; Szczesiak, M.; Craft, J.",
2010LPICo1595...73Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3043.pdf,Russian Investigations of the Moon by Robotic Space Missions: Goals and Perspectives,,2010-09-00,"Zelenyi, L. M.",
2010LPICo1595...74Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3001.pdf,Structural Stability and Sulfur Based Lunar Concrete Components for Lava Tube Suitability,,2010-09-00,"Zhou, G.; Mardon, A. A.",
2010LPICo1595...75Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3004.pdf,Lunar Concrete Preliminary Feasibility Analysis,,2010-09-00,"Zhou, G.; Mardon, A. A.",
2010LPICo1595...76Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3010.pdf,Lunar Exploration Factors for Consideration,,2010-09-00,"Zhou, G.; Mardon, A. A.",
2010LPICo1595...77Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3012.pdf,Lunar Oxygen Production Through Hydrogen Reduction at High Temperatures,,2010-09-00,"Zhou, G.; Mardon, A. A.",
2010LPICo1595...78Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3034.pdf,Space Mineral Resource Utilization,,2010-09-00,"Zhou, G.; Mardon, A. A.",
2010LPICo1595...79Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3002.pdf,Structural Mechanics in Lunar Design and Construction,,2010-09-00,"Zhou, G.; Mardon, A. A.",
2010LPICo1595...80Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3019.pdf,Gold Plating for Lunar Solar Protection and Temperature Control,,2010-09-00,"Zhou, G.; Mardon, A. A.",
2010LPICo1595...81Z,https://www.lpi.usra.edu/meetings/leag2010/pdf/3028.pdf,Prospects for Understanding the Internal Structure and Thermal Evolution of the Moon: Status and Plans for the Gravity Recovery and Interior Laboratory (GRAIL) Mission,,2010-09-00,"Zuber, M. T.; Smith, D. E.; Lehman, D. H.; Watkins, M. M.; Grail Team",
2011LPICo1646.....L,https://www.lpi.usra.edu/meetings/leag2011,Annual Meeting of the Lunar Exploration Analysis Group,,2011-11-00,LPI Editorial Board,
2011LPICo1646....1A,https://www.lpi.usra.edu/meetings/leag2011/pdf/2022.pdf,Analysis of Lunar Pyroclastic Glass Deposit FeO Abundances by LRO Diviner,,2011-11-00,"Allen, C. C.; Greenhagen, B. T.; Donaldson Hanna, K. L.; Paige, D. A.",
2011LPICo1646....3B,https://www.lpi.usra.edu/meetings/leag2011/pdf/2044.pdf,Results of LEND High Resolution Epithermal Neutron Measurements: Evidence for Two Hydrogen Emplacement Mechanisms,,2011-11-00,"Boynton, W. V.; Droege, G. F.; Harshman, K.; Mitrofanov, I. G.",
